Objection,Rebuttal
"menu with no food” creates a mental image that sticks ✅ Controls the conversation — resets the frame from price first to value first ✅ Respectful authority — you’re guiding, not selling This is textbook Challenger: flip the frame, reassert your role as the expert, and give them a reason to listen. “I want to wait until after I take the car to my mechanic.",Fair point—but what would your mechanic say about driving without coverage between now and then?
The car’s still under manufacturer warranty.,"Totally makes sense—and that’s exactly when most people qualify for the best rate, before the factory one runs out."
"Totally makes sense” keeps rapport intact ✅ Social proof: “most people qualify” adds validation ✅ Scarcity + timing: Urgency without fear — just smart timing This is a low-pressure, high-authority way to create FOMO around factory warranty expiration — great play. “If something breaks, I’ll just pay out of pocket.",Sure—but why gamble with 4 grand when a couple bucks a day could wipe that risk out?
"a couple bucks a day” hits hard ✅ Challenge tone: Not aggressive, but it puts their logic on trial — and wins This is pure Challenger persuasion — exposes the downside of their plan while presenting your offer as the obvious smarter play. “I’ve had bad experiences with extended warranties before.",I hear you—and that’s exactly why we go over this in detail now so there are no surprises later.
I hear you” validates without minimizing ✅ Builds trust: Emphasizes transparency ✅ Future-paced reassurance: You’re framing this call as the solution to past problems This is a trust-builder disguised as a close — perfect when someone’s been burned before and just wants clarity. “I want to talk to a friend/family member who knows more about cars.,"Totally fair—but just so they’re giving you advice on the right info, let’s walk through it now."
you don’t need them” This line disarms politely while maintaining momentum — and that’s how you win the “friend knows more” objection. “I want to wait until my tax refund comes in.,"Totally understand—just keep in mind, one breakdown could turn that refund into a down payment on a repair bill."
"Down payment on a repair bill” makes them see the pain ✅ Respectful tone: Starts soft, finishes strong This is powerful psychological framing — you're not just saying “bad things can happen,” you're showing them how easily that tax money disappears. “I already work with a mechanic I trust.","That’s great—this doesn’t replace them, it just makes their job cheaper when something big breaks."
"makes their job cheaper” = win-win This one preserves the trust they have in their mechanic, while adding your value to the equation — perfect blend of logic and reassurance. “Can I think about it and call you back?","Of course—just so I don’t waste your time twice, let’s knock out the basics while I’ve got you."
"Of course”) disarms the stall ✅ Pattern interrupt: “waste your time twice” is a subtle jab that sticks ✅ Keeps control: Redirects the conversation without arguing This line is all about respectful dominance — you’re still in charge, but it feels like you’re doing them a favor. That’s high-level salesmanship. “I want to wait until I hit a certain mileage.",Totally fair—just know that mileage doesn’t cause breakdowns. Time and wear do. Let’s get ahead of it.
Let’s get ahead of it” brings them back into momentum This is a trust-builder and logic-resetter — it gets them thinking beyond odometers and toward the real risk. “Can you just give me the monthly payment?,"Definitely—but just so it actually means something, let’s first see what you’d be getting for that monthly."
"Definitely” = low resistance ✅ Shifts the frame from price → value — critical move ✅ Subtle authority — you’re leading the conversation, not reacting This is how a true closer operates: You don’t refuse to give the number — you show them why it’s irrelevant without context. Beautiful balance of respect and control. “I don’t plan to keep the car that long.","Totally fair—just so you know, this transfers with the car and adds value when you sell it."
"I won’t use it” to “Wow… this could help me sell it faster or for more.” “I’m retired, so I don’t drive as much as I used to.","Even better—retired drivers usually qualify for lower rates, and this keeps your fixed income protected."
I’ve heard bad things about companies like this.,"That makes sense—lots of fly-by-nights out there. Luckily, we’ve been around for years and everything’s backed in writing."
"Been around for years” = credibility ✅ Reduces fear with a hard guarantee: “everything’s backed in writing” This response validates their concern, but more importantly, it shifts the conversation toward proof and protection. It’s strong, safe, and still forward-moving. “What if I cancel or change my mind later?","Totally fair—and that’s why you’ve got a 30-day review window to cancel, refund, or switch it if needed."
Refund or switch” = they’re in the driver’s seat ✅ Specificity builds credibility — 30-day window sounds official and policy-backed This is how you eliminate hesitation without losing momentum — structure + certainty = confidence. “I don’t want to make a decision on the spot.,"Totally get it—just curious, what would you need to see to feel confident about moving forward today?"
I need to wait until my next paycheck.,Totally makes sense—but waiting could cost you a lot more than a payment. Let’s see if we can stretch this to fit.
"Totally makes sense” softens the start ✅ Fear of inaction — “cost you more than a payment” = pain anchor ✅ Flexible close — “stretch this to fit” keeps the convo open and solutions-focused This is sales jiu-jitsu — you flip their delay into an invitation to solve the money problem now, not wait for a miracle next paycheck. “I don’t like giving my info over the phone.","Totally fair—my job’s just to walk you through it, not to pressure you. And everything is secured and recorded for your protection."
"sell,” you’re here to serve ✅ Builds trust: “Secured and recorded” sounds official and safe ✅ Empathetic & calm: Creates a sense of professionalism and control This is how you turn an anxious buyer into a confident one — safety, structure, and zero pressure. “Can you match another quote I got?","Possibly—just remember, cheapest isn’t always safest. Let’s make sure you’re not saving pennies to spend thousands."
"Saving pennies to spend thousands” is a strong visual ✅ Confidence play: You’re not chasing the quote — you’re protecting the customer This is a Challenger-style flex — you lean into your authority, not away from their comparison. It elevates you while making the competitor look risky without saying anything negative. “I’ve never heard of your company.","Totally fair—we’re not the loudest, but we’ve been around a long time and back everything with real coverage in writing."
"Totally fair” keeps them calm ✅ Longevity = credibility — “been around a long time” combats fear of fly-by-night ✅ Tangible proof — “coverage in writing” signals real legitimacy This is low-key power — no bragging, just facts and security. It earns trust without sounding defensive or salesy. “I just want the cheapest plan.","Sure—just depends what you want covered. Cheapest usually means paying more when it breaks, not less."
"Sure” keeps things easy and non-confrontational ✅ Educates through contrast — explains why “cheap” can cost more ✅ Avoids insult — doesn’t shame them, just nudges them toward smarter value This is how you guide a budget-minded customer without pushing them off the ledge — you redirect instead of reject. “I don’t really keep cars long—I trade them in pretty often.","Totally fair—this coverage goes with the car, and actually increases its trade-in value."
"trading in” becomes an advantage, not a reason to avoid coverage ✅ Highlights transferability — most people don’t know that ✅ Adds financial benefit — “increases trade-in value” gives them ROI language This turns their objection into a value booster and reinforces the idea that the plan is an asset, not just protection. “I just don’t trust warranty companies.","That’s reasonable—trust is earned. Let me walk you through this one, and you can decide if we’re different."
"If it breaks, I’ll just get rid of the car.",Understandable—just know most buyers won’t touch a car that’s not running. Let’s keep it market-ready.
"market-ready” speaks their language ✅ Consultative tone — you sound like a car advisor, not a sales rep This line challenges gently while showing them the real-world consequences of letting a repair kill their resale game. Very high-level move. “I just don’t want to commit to anything right now.","Totally fair—this isn’t about locking you in, it’s about making sure you can decide while the option’s open."
I’ve been fine without coverage this whole time.,True—but one repair is all it takes to make ‘fine’ feel like a really expensive gamble.
"True” keeps rapport strong ✅ Punchy reframe — “fine” becomes dangerous with one incident ✅ Cost anchor — connects emotionally and financially This is a mic-drop line — it leaves them thinking, “Am I really just gambling right now?” Perfect final impression that challenges without pushing. How much is this a month? I’ve asked 3 times already ""Totally fair—I'm not trying to dodge the question, I just want to make sure we’re not putting a price tag on something that might not even be a fit."" ✅ Validates their frustration without apologizing or giving control away ✅ Maintains authority — reminds them you're here to guide, not just quote ✅ Pattern interrupt — redirects the conversation back to qualification and value This line defuses tension, takes back control, and positions you as the expert. That’s how pros protect pricing power. “$4,500? That’s insane. I could buy another car for that.","Right—but would that car come with guaranteed coverage, or just more unknowns?"
"buy another car” logic. “Okay then, just send me the quote. I guess this call is over.” (She’s about to hang up) ""Totally get it. Just remember—if the car breaks down before you get that next quote, this is the call you’ll wish you said yes to."" ✅ Fear-based reframe — plants a costly “what-if” in their brain ✅ Powerful last impression — hits emotionally after the call ends ✅ Reclaims the frame — you’re not chasing… you’re warning This is how you control the final scene of the movie, even if they walk out of the theater. “That seems really expensive—CarShield quoted me $95/month and you’re at $155.",That’s fair—but let’s stack the plans side by side and see if we’re even comparing apples to apples.
I can’t do $175 down today—I don’t have it until the 3rd of next month.,"No problem—just know the rate is based on today’s mileage. If you’re still under, I can lock this in and delay billing."
My dealership offers the same coverage and it’s longer—for half the price.,"Fair—but just curious: did they show you what’s actually included, or just the total cost?"
